substanceAbuseTags,alcoholAbuseTags,drugAbuseTags,,,,,,,,,,,,,,,,,,,,,,,,
alcoholAbuseTags,Alcohol Abuse,Implied/Referenced Alcohol Abuse/Alcoholism,Hangover,Alcohol Abuse/Alcoholism,Substance Abuse,Drinking,Underage Drinking,Drunk Newton Geiszler,Implied/Referenced Underage Drinking,Drunken Flirting,Alcohol,Drunken Shenanigans,Excessive Drinking,Drunkenness,Beer,,,,,,,,,,,
drugAbuseTags,Drug Abuse,Implied Drug Use,Drug Addiction,Past Drug Use,Drug Use,Recreational Drug Use,Drug Withdrawal,Underage Drug Use,Drugs,Implied/Referenced Drug Use,,,,,,,,,,,,,,,,
violenceTags,childAbuseTags,fightingTags,violenceGeneralTags,violentDeathTags,abuseGeneralTags,animalAbuseTags,goreTags,weaponGeneralTags,tortureTags,sexualViolenceTags,mentalViolenceTags,warTags,selfHarmTags,dysphoriaTags,suicideTags,fascismTags,,,,,,,,,,
childAbuseTags,A+ Parenting,Howard Stark's A+ Parenting,Absent John Winchester,Harm to Children,Canonical Child Abuse,Canon-Typical Violence,Abusive Winchester Family,Child Abuse,calvin's dad is a terrible person,Childhood Sexual Abuse,Past Child Abuse,Implied/Referenced Child Abuse,Childhood Trauma,Daddy Issues,,,,,,,,,,,,
fightingTags,Fighting,Fights,Whump,Bar Room Brawl,She bout to get beat down,,,,,,,,,,,,,,,,,,,,,
violenceGeneralTags,Canon Typical Violence,Implied Violence,Minor Violence,Mentions of Violence,Vague References to Violence,Non-Consensual Body Modification,Non-Graphic Violence,Violence,suggestions of violence,Vague Hints at Actual Violence,,,,,,,,,,,,,,,,
violentDeathTags,Fatal Attraction,Murder,Crucifixion,Attempted Murder,Previous Attempted Murder,References to Atttempted Murder,,,,,,,,,,,,,,,,,,,,
abuseGeneralTags,non-sexual abuse,Implied/Referenced Abuse,Abuse,Emotional/Psychological Abuse,,Past Abuse,Mentioned Abuse,mentions of abuse,Bullying,,,,,,,,,,,,,,,,,
animalAbuseTags,abused animal,,,,,,,,,,,,,,,,,,,,,,,,,
goreTags,Mild Gore,Gore,Vomiting,a bit of blood and glass,Nongraphic Description of Gore,,Blood and Injury,Broken Bone,Broken Bones,very mild description of burn injuries at the end,injuries,Emetophilia,,,,,,,,,,,,,,
weaponGeneralTags,Girls with Guns,Guns,Gun Violence,Tasers,Poison,,,,,,,,,,,,,,,,,,,,,
tortureTags,Implied Torture,Torture,very brief mentions of past imprisonment/torture,Punishment,Prison,Prison Talk,visiting family in prison,Visiting a relative in prison,,,,,,,,,,,,,,,,,,
sexualViolenceTags,Attempted Rape,Past Rape/Non-con,Attempted Rape/Non-Con,Implied/Referenced Rape/Non-con,Canonical Rape/Non-con,Implied/Referenced Sexual Harassment,Childhood Sexual Abuse,Sexual Abuse,,,,,,,,,,,,,,,,,,
mentalViolenceTags,Possessive Behavior,Narcissism,Psychological Torture,Verbal Fighting,Gaslighting,Gaslighting Recovery,Gaslighting of the Self,,,,,,,,,,,,,,,,,,,
warTags,War,Vietnam War,WWII,War veterans,Veterans,Veteran Klaus Hargreeves,Holocaust,post 9/11,,,,,,,,,,,,,,,,,,
selfHarmTags,cutting tw,Eating Disorder Not Otherwise Specified,Self-Harm,Implied/Referenced Self-Harm,,,,,,,,,,,,,,,,,,,,,,
dysphoriaTags,Gender Dysphoria,Body Dysphoria,Body Horror,Dysphoria,,,,,,,,,,,,,,,,,,,,,,
suicideTags,Assisted Suicide,klaus tries to kill himself a lot,Implied/Referenced Suicide,,Suicidal Thoughts,Suicide,depressed/bordering on suicidal calvin,klaus tries to kill himself a lot,,,,,,,,,,,,,,,,,,
fascismTags,Nazis being Nazis,Adolf Hitler (mentioned),Nazi,,,,,,,,,,,,,,,,,,,,,,,
bigotryTags,sexismTags,transphobiaTags,racismTags,xenophobiaTags,queerphobiaTags,ableismTags,fatphobiaTags,,,,,,,,,,,,,,,,,,,
sexismTags,Cisgender Bigot Original Character,Bigoted LGB People,Cissexism,Bigotry & Prejudice,Sexism,Bigotry Inside Communities,Toxic Masculinity,Canon-Typical Misandry,,,,,,,,,,,,,,,,,,
transphobiaTags,Internalized Transphobia,Misgendering,TERF Original Character,TERFs are just no,Transphobia,Mention of anti-nonbinary attitudes,,,,,,,,,,,,,,,,,,,,
racismTags,racial injustice,White Privilege,Racism,respectability politics,,,,,,,,,,,,,,,,,,,,,,
xenophobiaTags,Xenophobia,,,,,,,,,,,,,,,,,,,,,,,,,
queerphobiaTags,Internalized Acephobia,Internalized Homophobia,Homophobia,Homophobic Language,Homophobic Slurs,mild homophobia,,,,,,,,,,,,,,,,,,,,
ableismTags,Ableism,Ableist Language,,,,,,,,,,,,,,,,,,,,,,,,
fatphobiaTags,fatphobia,,,,,,,,,,,,,,,,,,,,,,,,,
traumaTags,physicalIllnessTags,traumaGeneralTags,badRelationshipsTags,abductionTags,unmanagedMentalHealthTags,,,,,,,,,,,,,,,,,,,,,
physicalIllnessTags,Terminal Illnesses,Cancer,Disease,,,,,,,,,,,,,,,,,,,,,,,
